Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
1,0,2.05,3.5,716.3,0.0,14.0,100,152.0
0,1,0.8,3.0,587.3,9.0,0.3,10,16.0
0,0,100.0,5.35,17.3,0.0,0.3,40,218.6
0,0,36.69,15.0,128.7,2.69,14.0,60,239.0
1,0,27.9,10.0,87.86,1.66,7.4,40,693.0
0,1,0.34,1.0,89.4,0.0,0.3,150,158.0
1,0,6.84,3.5,716.3,0.0,14.0,80,116.0
1,0,6.84,3.5,716.3,0.0,7.4,40,200.0
1,1,5.24,5.12,105.2,0.0,0.3,80,132.1
1,0,9.81,10.0,135.6,0.8,14.0,50,87.0
0,1,0.35,1.0,92.85,0.0,1.0,40,91.0
0,1,5.7,4.3,57.8,6.0,0.3,60,36.3
0,1,3.0,0.35,28.0,0.0,0.3,20,95.7
1,0,4.43,3.5,716.3,0.0,14.0,50,69.0
0,0,1.01,3.0,647.6,0.0,0.3,50,115.0
0,1,10.2,2.0,402.0,0.0,0.3,40,45.2
0,1,11.24,10.0,96.5,3.4,7.4,10,34.6
0,1,17.2,3.05,55.8,0.0,14.0,20,72.0
0,0,7.21,35.1,239.7,1.4,14.0,10,312.0
0,1,2.7,2.1,883.0,0.0,0.3,10,37.1
1,1,11.52,2.1,844.1,27.0,0.3,40,45.0
0,1,7.2,3.76,2871.0,3.53,0.3,100,81.0
0,0,1.01,3.0,647.6,0.0,14.0,60,95.0
0,0,18.3,30.0,257.2,1.65,0.3,20,561.0
0,0,60.2,4.8,78.9,1.89,0.3,20,117.0
0,0,63.27,4.8,37.4,1.63,0.3,10,284.0
1,1,7.64,7.3,681.0,1.8,14.0,10,38.0
0,1,0.25,0.35,282.0,12.08,0.3,10,95.75
0,1,4.0,0.35,1135.0,12.0,0.3,20,77.5
0,1,7.2,3.76,2871.0,3.53,7.4,50,112.0
1,0,2.05,3.5,716.3,0.0,0.3,50,157.0
0,1,2.0,0.61,282.0,12.08,0.3,100,69.0
1,1,14.2,7.2,588.0,1.48,14.0,10,118.0
0,0,18.08,25.0,329.6,1.22,14.0,10,296.0
0,1,0.44,0.35,900.0,2.75,0.3,10,12.0
0,0,47.85,35.1,150.4,1.0,14.0,60,151.0
1,0,14.0,25.0,193.9,3.1,0.3,60,310.0
1,1,10.0,15.0,79.01,0.0,14.0,80,193.0
1,1,1.5,0.35,879.21,4.8,0.3,10,209.0
1,0,100.0,1.3,43.54,0.0,7.4,40,74.0
1,0,20.35,14.51,157.0,0.0,0.3,10,186.0
1,0,37.0,10.0,110.3494,2.24,14.0,100,168.0
1,0,23.73,11.58,157.0,0.0,0.3,10,400.0
1,0,8.74,18.0,356.0,3.4,14.0,50,545.0
0,0,18.3,30.0,257.2,1.65,14.0,20,318.0
0,0,55.61,20.0,91.98,2.15,0.3,50,862.0
1,1,10.0,15.0,79.01,0.0,14.0,10,39.0
0,0,55.61,20.0,91.98,2.15,0.3,40,812.0
0,1,0.13,5.0,461.0,11.62,0.3,20,267.0
1,1,27.91,19.0,110.1,13.4,13.0,20,34.0
0,1,1.26,4.2,604.94,0.0,14.0,100,137.0
0,1,5.4,0.35,122.0,0.0,0.0,10,26.0
1,1,14.2,7.2,588.0,1.48,14.0,40,304.0
1,0,45.2,30.0,184.92,3.58,0.3,40,33.0
1,0,4.43,3.5,716.3,0.0,0.3,40,87.0
1,1,7.91,7.3,658.0,1.77,14.0,10,83.0
1,1,6.16,7.2,680.0,1.82,14.0,50,157.0
1,0,35.39,8.9,100.06,0.0,14.0,80,152.0
1,0,37.0,10.0,110.3494,2.24,14.0,150,214.0
1,0,12.5,15.0,373.0,8.1,14.0,100,314.0
0,1,9.5,5.0,109.75,4.5,7.4,40,120.0
0,0,85.0,20.0,62.8,0.0,14.0,40,195.0
1,1,24.83,7.5,29.0,0.0,13.0,10,370.0
0,1,0.35,1.0,92.85,0.0,0.7,20,61.0
1,1,11.44,7.1,476.0,1.74,14.0,60,367.0
0,1,0.452,1.0,86.67,1.4,0.3,10,49.5
0,1,0.452,1.0,86.67,1.4,0.3,50,81.0
0,1,0.21,4.0,92.85,0.0,0.3,20,120.0
1,0,27.9,10.0,87.86,1.66,0.3,60,245.0
0,1,9.5,5.0,109.75,4.5,7.4,10,20.0
1,1,27.91,20.0,110.1,15.94,13.0,40,52.0
1,1,27.91,19.0,110.1,13.4,0.3,10,65.0
1,1,27.91,19.0,110.1,13.4,13.0,40,53.5
0,1,3.2,1.6,254.0,0.0,0.3,20,54.0
1,1,10.74,7.2,717.0,1.9,14.0,100,367.0
0,0,19.99,30.0,541.2,17.36,13.0,200,319.0
0,0,0.0,0.0,509.0,3.05,0.3,20,759.0
1,0,9.81,10.0,135.6,0.8,0.3,20,75.0
0,1,3.8,2.0,500.0,18.0,0.3,20,48.0
1,1,11.44,7.1,476.0,1.74,14.0,80,431.0
0,1,0.5,0.35,28.0,0.0,0.3,20,84.0
